total_return,annual_return,volatility,sharpe_ratio,max_drawdown,daily_mean_arithmetic,daily_mean_geometric,daily_min_return,max_10day_drawdown,skewness,kurtosis,modified_var_95,cvar_95,num_trades,num_failures,lookback_days_ret,lookback_days_cov
0.4652987624216221,0.9703142188497692,1.1656585873554135,0.5485405990307266,-0.991608336376406,0.0025576442390929962,-0.00017485912861803232,-0.4236860017763,-0.991608336376406,0.2097630458831793,4.925940113213543,0.03255468400884207,-0.163036297936166,908,0,40,40
0.2176523639258501,0.9417060683247522,1.1716590476646636,0.5157087098710852,-0.9951896001517411,0.0024169391035197114,-0.0003484778160467439,-0.45861514453874397,-0.9951896001517411,0.19444135783738453,4.993930511844196,0.02882703304387718,-0.16457163953449336,908,0,40,60
0.19830553509495838,0.9382594373670674,1.185549235499981,0.5198740412868746,-0.9971413401553102,0.0024653450888157593,-0.0003697479306337126,-0.5028535236821052,-0.9971413401553102,0.20151436107425189,5.369641347856273,0.03657591987041092,-0.16711165465328978,908,0,40,90
0.15504854970610238,0.9292093806502918,1.1961732768185798,0.5137587024806263,-0.9972678297416467,0.00245817772256125,-0.0004259702745351701,-0.516670710773935,-0.9972678297416467,0.21066828923721834,5.049292237379635,0.03198352614597426,-0.1678793878100781,908,0,40,180
0.16242298329820634,0.9309115963374596,1.1678904129225558,0.5001948177489816,-0.9983615677286278,0.0023366909289703223,-0.00041535402256698273,-0.4236860017763,-0.9983615677286278,0.1592391300936201,4.963905873201099,0.01854152284531728,-0.1645929231340379,908,0,60,40
0.4010512135846648,0.9646517628023643,1.1781120903147446,0.5499230030683331,-0.9982164989208739,0.0025914837546279824,-0.00020881617090329208,-0.45861514453874397,-0.9982164989208739,0.17245252004850894,5.046684289721403,0.02284743904767307,-0.16557589589793317,908,0,60,60
0.1925347832395115,0.9371686590823896,1.1909154188977644,0.5221282893204781,-0.9969630159855472,0.0024872425215778818,-0.00037649561045882685,-0.5028535236821052,-0.9969630159855472,0.18613100934614277,5.224891596424582,0.02883807318492068,-0.16658853406766164,908,0,60,90
0.13045221387133915,0.9229088141088629,1.1878848705797618,0.5001522213968859,-0.9979436310079917,0.0023764930271368803,-0.0004654341196932421,-0.516670710773935,-0.9979436310079917,0.22551002719670532,4.917889991021579,0.034602371252828515,-0.16426688417294194,908,0,60,180
0.07526052613193236,0.903128314704991,1.1354139189952484,0.4444891043115606,-0.9941995455366097,0.002018716463508307,-0.0005910936930763055,-0.41785431376480975,-0.9941995455366097,0.057047444250171365,4.569858989019711,-0.01492459286735752,-0.16296618816320607,908,0,90,40
0.13185769913321277,0.9232984578547272,1.1684137475653094,0.49111033551484284,-0.992228677694197,0.002295280270347816,-0.00046298581177972586,-0.4575751503711859,-0.992228677694197,0.1167853370646467,4.527930629508037,-0.002018456438001401,-0.16570560404036724,908,0,90,60
0.015019452003518053,0.8475801897529031,1.1823646825626526,0.3955515057942068,-0.9991732408257997,0.0018707445223421864,-0.0009591760660467852,-0.5095286929550092,-0.9991732408257997,0.11481667105752978,4.6939019802608515,-0.0008730575541219948,-0.16805954661944597,908,0,90,90
0.07651498565517428,0.9037165582894162,1.1856729904548844,0.4783834632843564,-0.9959958425610792,0.0022688254059861092,-0.0005873174424462224,-0.5249289215171785,-0.9959958425610792,0.058543569463545546,4.87713883935193,-0.013877550443019929,-0.17131190222489348,908,0,90,180
0.03206726793857793,0.8732844787247015,1.0919316391210148,0.37708191123902507,-0.9981718230676633,0.0016469906776884547,-0.0007859582778824148,-0.43308263787872986,-0.9981718230676633,-0.11767146419719202,4.700561707955904,-0.05805231629652076,-0.16079320273224335,908,0,180,40
0.047433419212715155,0.8868551724214766,1.1163754879704562,0.4123019149931025,-0.9990183037792202,0.0018411350061663134,-0.0006965409031430836,-0.4800851249229374,-0.9990183037792202,-0.05386558405441685,4.5866735375971315,-0.044458326114780664,-0.1629766659875174,908,0,180,60
0.027907993606777495,0.8685189327242685,1.1416677676632123,0.4015673986472764,-0.9991321896220466,0.0018338262223198374,-0.0008176865684421664,-0.52182843980578,-0.9991321896220466,-0.016997130263114234,4.367772897272323,-0.04068960124877968,-0.16582553059141536,908,0,180,90
0.01300206690820507,0.8427784527974094,1.1563364956005768,0.3719002088008378,-0.9992535275958574,0.0017201671366315343,-0.0009921125457339475,-0.5328023320767189,-0.9992535275958574,0.04750742014924436,4.125440039980238,-0.02832543393601801,-0.16745277812660297,908,0,180,180
